# Track profile of the reference race (2263 frames, finishes at the Race Over flag)

     frames  kind slope  posX_start   posX_end       velX    angle
 1713- 1713  AIR     0     8001.86    8001.86  1544->1544    5->  5
 1714- 1716  AIR     1     8007.89    8021.95  1544->1544    5->  6
 1717- 1719  AIR     0     8028.98    8042.05  1544->1544    6->  6
 1720- 1720  GND     0     8049.08    8049.08  1544->1544    5->  5
 1721- 1722  GND     6     8056.11    8062.14  1544->1544    8->  8
 1723- 1723  AIR     6     8069.17    8069.17  1544->1544    8->  8
 1724- 1724  AIR     0     8076.20    8076.20  1544->1544    9->  9
 1725- 1727  AIR     1     8083.23    8096.30  1544->1544    9->  9
 1728- 1803  AIR     0     8103.33    8611.67  1544->1544   10->  2
 1804- 1806  AIR     6     8618.70    8632.77  1544->1544    3->  3
 1807- 1807  AIR     0     8638.80    8638.80  1544->1544    3->  3
 1808- 1810  AIR     1     8645.83    8659.89  1544->1544    4->  4
 1811- 1814  AIR     0     8665.92    8687.02  1544->1544    4->  5
 1815- 1815  AIR     6     8694.05    8694.05  1544->1544    5->  5
 1816- 1816  GND     6     8700.08    8700.08  1544->1544    6->  6
 1817- 1818  AIR     0     8707.11    8714.14  1544->1544    6->  6
 1819- 1821  AIR     1     8721.17    8734.23  1544->1544    6->  7
 1822- 1896  AIR     0     8741.27    9243.58  1544->1544    7-> 11
 1897- 1900  AIR     6     9249.61    9270.70  1544->1544   11-> 11
 1901- 1902  AIR     0     9276.73    9283.77  1544->1544   11-> 11
 1903- 1904  AIR     3     9290.80    9297.83  1544->1544   11-> 11
 1905- 1912  AIR     0     9303.86    9352.08  1544->1544   11-> 10
 1913- 1914  AIR     4     9358.11    9365.14  1544->1544   10-> 10
 1915- 1916  AIR     0     9372.17    9379.20  1544->1544   10->  9
 1917- 1920  AIR     1     9385.23    9406.33  1544->1544    9->  8
 1921- 1967  AIR     0     9412.36    9724.80  1544->1544    8->  6
 1968- 1976  GND     0     9731.83    9786.08  1544->1544    5->  6
 1977- 1977  GND     5     9793.06    9793.06  1532->1532    7->  7
 1978- 1979  GND     6     9799.05    9806.03  1532->1532    9->  9
 1980- 2019  AIR     0     9814.02   10120.41  1788->1788   10-> 11
 2020- 2021  GND     6    10128.39   10136.38  1788->1788   11-> 10
 2022- 2058  AIR     0    10144.36   10432.80  2044->2044   10-> 11
 2059- 2060  GND     6    10440.78   10448.77  2044->2044   11-> 10
 2061- 2062  AIR     0    10457.75   10466.73  2300->2300    9->  9
 2063- 2063  AIR     6    10475.72   10475.72  2300->2300    9->  9
 2064- 2064  AIR     0    10484.70   10484.70  2300->2300    9->  9
 2065- 2065  AIR     1    10493.58   10493.58  2272->2272    9->  9
 2066- 2069  AIR     0    10502.45   10530.08  2272->2272    8->  8
 2070- 2071  AIR     1    10538.95   10547.83  2272->2272    9->  9
 2072- 2158  AIR     0    10556.70   11328.95  2272->2272    9->  5
 2159- 2165  GND     0    11338.83   11392.08  2272->2272    5->  6
 2166- 2262  AIR     0    11400.95   12157.33  2272->1256    8-> 11

# Jumps (airborne stretches): 113
  launch frame   339 @posX  1149.33  -> land frame   341 @posX  1153.58  (2 frames aloft, velX 832)
  launch frame   341 @posX  1156.83  -> land frame   344 @posX  1164.33  (3 frames aloft, velX 832)
  launch frame   344 @posX  1167.58  -> land frame   353 @posX  1197.58  (9 frames aloft, velX 832)
  launch frame   353 @posX  1200.83  -> land frame   416 @posX  1427.33  (63 frames aloft, velX 832)
  launch frame   436 @posX  1504.58  -> land frame   437 @posX  1504.58  (1 frames aloft, velX 832)
  launch frame   437 @posX  1507.83  -> land frame   439 @posX  1512.08  (2 frames aloft, velX 832)
  launch frame   439 @posX  1515.33  -> land frame   445 @posX  1533.58  (6 frames aloft, velX 832)
  launch frame   445 @posX  1536.83  -> land frame   492 @posX  1705.33  (47 frames aloft, velX 832)
  launch frame   569 @posX  1990.83  -> land frame   570 @posX  1990.83  (1 frames aloft, velX 832)
  launch frame   570 @posX  1994.08  -> land frame   573 @posX  2001.58  (3 frames aloft, velX 832)
